tipo_accion;tipo_producto;cantidad_h;talla_h;hora
Disminuir;Pantalon de buzo;3;L;2024-11-19 15:02:12;
Disminuir;Pantalon de buzo;5;L;2024-11-19 15:02:12;
Agregar;Pantalon de buzo;5;L;2024-11-19 15:02:12;
Agregar;gorro;2;S;2024-11-19 15:02:12;
Agregar;poleron x;5;S;2024-11-19 15:02:12;
Agregar;poleronn;4;M;2024-11-19 15:02:12;
Agregar;Poleron polo;2;S;2024-11-19 15:02:12;
Disminuir;Poleron polo;5;S;2024-11-19 15:02:12;
Agregar;Poleron polo;0;S;2024-11-19 15:02:12;
Eliminar;Poleron polo;9;S;2024-11-19 15:02:12;
Aumentar;gorro;3;S;2024-11-19 15:02:12;
Disminuir;gorro;5;S;2024-11-19 15:02:12;
Disminuir;gorro;1;S;2024-11-19 15:02:12;
Disminuir;gorro;5;S;2024-11-19 15:02:12;
Aumentar;gorro;2;S;2024-11-19 15:02:12;
Disminuir;gorro;3;S;2024-11-19 15:02:12;
Disminuir;gorro;2;S;2024-11-19 15:02:12;
Disminuir;gorro;9;S;2024-11-19 15:02:12;
Disminuir;gorro;8;S;2024-11-19 15:02:12;
Disminuir;gorro;7;S;2024-11-19 15:02:12;
