tipo_accion;tipo_producto;cantidad_h;talla_h;hora
Disminuir;Pantalon de buzo;53 -> 50;L;2024-10-29 01:17:05
Disminuir;Pantalon de buzo;50 -> 46;L;2024-10-29 01:18:15
Agregar;Pantalon de buzo;50 -> 52;L;2024-10-29 01:21:25
Agregar;gorro;30;S;2024-10-29 12:43:39
Agregar;poleron x;5;S;2024-10-29 14:24:42
Agregar;poleronn;4;M;2024-10-29 14:26:00
Agregar;Poleron polo;25;S;2024-10-29 19:55:34
Disminuir;Poleron polo;25 -> 19;S;2024-10-29 19:59:35
Agregar;Poleron polo;10;S;2024-10-30 00:44:01
Eliminar;Poleron polo;19;S;2024-10-30 01:01:59
Aumentar;gorro;30 -> 35;S;2024-10-30 01:04:26
Disminuir;gorro;35 -> 10;S;2024-10-30 01:05:16
Disminuir;gorro;10 -> 5;S;2024-10-30 01:06:43
Disminuir;gorro;5 -> 2;S;2024-10-30 01:08:45
Aumentar;gorro;2 -> 32;S;2024-10-30 01:09:59
Disminuir;gorro;32 -> 22;S;2024-10-30 01:11:32
Disminuir;gorro;22 -> 9;S;2024-10-30 01:11:57
Disminuir;gorro;9 -> 8;S;2024-10-30 01:12:48
Disminuir;gorro;8 -> 7;S;2024-10-30 01:13:47
Disminuir;gorro;7 -> 6;S;2024-10-30 01:14:20
